plant,sample,substance,weight_g,root_length_cm
mb,01,pbs,0.26,1.3
mb,02,pbs,0.25,1.5
mb,03,pbs,0.19,0.7
mb,04,pbs,0.25,1.3
mb,05,pbs,0.20,1.0
mb,06,pbs,0.24,1.0
mb,07,pbs,0.23,0.9
mb,08,pbs,0.22,1.7
mb,09,pbs,0.25,0.9
mb,10,pbs,0.17,0.8
mb,01,TiO2,0.28,2.5
mb,02,TiO2,0.26,4.5
mb,03,TiO2,0.44,4.0
mb,04,TiO2,0.22,3.5
mb,05,TiO2,0.23,0.0
mb,06,TiO2,0.34,3.4
mb,07,TiO2,0.20,2.7
mb,08,TiO2,0.30,3.0
mb,09,TiO2,0.30,3.7
mb,10,TiO2,0.17,3.3
mb,01,Ag,0.28,4.2
mb,02,Ag,0.20,4.5
mb,03,Ag,0.34,2.8
mb,04,Ag,0.22,3.4
mb,05,Ag,0.23,3.2
mb,06,Ag,0.34,3.5
mb,07,Ag,0.20,4.9
mb,08,Ag,0.30,3.2
mb,09,Ag,0.30,3.8
mb,10,Ag,0.17,0.0
mb,01,AlO2,0.27,2.8
mb,02,AlO2,0.24,2.3
mb,03,AlO2,0.39,4.2
mb,04,AlO2,0.25,3.2
mb,05,AlO2,0.27,2.4
mb,06,AlO2,0.25,3.9
mb,07,AlO2,0.27,3.3
mb,08,AlO2,0.33,3.6
mb,09,AlO2,0.25,2.8
mb,10,AlO2,0.32,4.0
mb,01,bleach,0.21,0.0
mb,02,bleach,0.26,0.0
mb,03,bleach,0.19,0.0
mb,04,bleach,0.18,0.0
mb,05,bleach,0.27,0.0
mb,06,bleach,0.22,0.0
mb,07,bleach,0.22,0.0
mb,08,bleach,0.21,0.0
mb,09,bleach,0.26,0.0
mb,10,bleach,0.13,0.0