Time,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G4,G5,G6
0.00:00:03,2.935,3.403,3.333,0.001,0.001,0.001,0.497,0.5,0.469,0,0,0,0.054,0.052,0.056,0,0,0,1.868,2.165,2.117,0.001,0,0,0.23,0.222,0.223,0.001,-0.001,0,0.027,0.025,0.024,0,-0.001,-0.001,0,0,0
0.00:01:03,3.231,3.678,3.601,0.002,0.001,0.001,0.577,0.579,0.549,0,0,0,0.064,0.066,0.066,0,0.001,0,2.128,2.443,2.388,0.002,0.001,0.001,0.27,0.262,0.263,0.001,-0.001,0,0.03,0.029,0.029,0,0,0,0,0,0
0.00:02:03,3.481,3.878,3.807,0.002,0.001,0.002,0.66,0.661,0.629,0,0,0,0.075,0.074,0.077,0,0.001,0.001,2.383,2.715,2.659,0.002,0.001,0.001,0.313,0.309,0.304,0.002,0,0.001,0.036,0.036,0.034,0.001,0,0,0,0,0
0.00:03:03,3.693,,,0.003,0.002,0.002,0.746,0.753,0.711,0.001,0,0.001,0.085,0.085,0.088,0.001,0.001,0.001,2.633,2.969,2.902,0.003,0.001,0.002,0.358,0.355,0.346,0.002,0,0.001,0.042,0.042,0.04,0.001,0,0,0,0,0
0.00:04:03,3.869,,,0.004,0.002,0.002,0.835,0.839,0.792,0.001,0,0,0.097,0.096,0.099,0.001,0.001,0.001,2.866,3.199,3.136,0.004,0.002,0.002,0.404,0.4,0.39,0.002,0,0.001,0.048,0.048,0.046,0.001,0,0,0.001,0,0
0.00:05:03,,,,0.005,0.002,0.002,0.925,0.924,0.873,0.002,0.001,0,0.108,0.108,0.11,0.001,0.001,0.001,3.089,3.421,3.354,0.004,0.002,0.002,0.451,0.445,0.435,0.002,0,0.002,0.054,0.054,0.052,0.001,0,0,0.001,0,0
0.00:06:03,,,,0.005,0.002,0.002,1.015,1.011,0.974,0.003,0,0,0.121,0.12,0.121,0.001,0.001,0,3.288,3.591,3.53,0.005,0.002,0.002,0.499,0.491,0.48,0.002,-0.001,0.001,0.06,0.06,0.058,0.001,0,0,0.001,0,0
0.00:07:03,,,,0.006,0.002,0.002,1.106,1.095,1.068,0.003,0,0.001,0.134,0.134,0.134,0.002,0.001,0,3.471,3.74,3.703,0.006,0.002,0.002,0.547,0.539,0.527,0.002,-0.001,0.001,0.066,0.066,0.064,0.001,0,0,0.001,-0.001,0
0.00:08:03,,,,0.007,0.003,0.002,1.197,1.177,1.156,0.004,0,0.001,0.147,0.146,0.146,0.002,0.001,0,3.607,3.863,3.813,0.013,0.002,0.002,0.596,0.586,0.574,0.003,-0.001,0.001,0.074,0.074,0.071,0.002,0,0,0.001,-0.001,0
0.00:09:03,,,,0.008,0.002,0.002,1.286,1.261,1.245,0.005,0.001,0.001,0.159,0.159,0.16,0.002,0.001,0,3.743,,,0.013,0.002,0.002,0.645,0.634,0.622,0.003,-0.001,0.001,0.078,0.08,0.077,0.002,0,-0.001,0.001,-0.001,-0.001
0.00:10:03,,,,0.009,0.003,0.002,1.374,1.339,1.332,0.006,0.001,0.001,0.172,0.174,0.174,0.003,0.001,0,3.848,,,0.009,0.002,0.002,0.694,0.682,0.669,0.003,0,0.001,0.087,0.086,0.083,0.002,0,-0.001,0.001,-0.001,-0.001
0.00:11:03,,,,0.01,0.003,0.002,1.462,1.417,1.417,0.007,0.001,0.001,0.185,0.189,0.188,0.004,0.001,0,,,,0.009,0.002,0.002,0.743,0.73,0.717,0.004,-0.001,0.001,0.091,0.098,0.089,0.002,0,-0.001,0.001,-0.001,-0.001
0.00:12:03,,,,0.011,0.003,0.002,1.548,1.503,1.501,0.007,0.001,0.001,0.198,0.202,0.201,0.005,0.002,0.001,,,,0.01,0.002,0.003,0.791,0.778,0.764,0.004,-0.001,0.001,0.097,0.101,0.095,0.002,0,-0.001,0.002,-0.001,-0.001
0.00:13:03,,,,0.013,0.004,0.002,1.632,1.586,1.585,0.008,0.002,0.001,0.211,0.214,0.214,0.006,0.002,0.001,,,,0.011,0.003,0.003,0.839,0.826,0.811,0.005,-0.001,0.001,0.103,0.11,0.101,0.003,0,-0.001,0.002,-0.001,-0.001
0.00:14:03,,,,0.014,0.004,0.002,1.713,1.667,1.666,0.01,0.002,0.001,0.223,0.226,0.228,0.007,0.003,0.001,,,,0.014,0.003,0.003,0.887,0.873,0.858,0.006,0,0.001,0.111,0.117,0.108,0.003,0,-0.001,0.002,-0.001,-0.001
0.00:15:03,,,,0.015,0.004,0.003,1.792,1.737,1.745,0.011,0.003,0.001,0.236,0.24,0.241,0.009,0.003,0.001,,,,0.014,0.003,0.003,0.934,0.919,0.904,0.007,0,0,0.116,0.122,0.114,0.003,0,-0.001,0.002,-0.001,-0.001