Column,Dilution,1,2,3,4,5,6,Protein
A,1:10,F01,F01,F01,F03,F03,F03,B-Gal
B,1:100,F01,F01,F01,F03,F03,F03,B-Gal
C,1:1000,F01,F01,F01,F03,F03,F03,B-Gal
D,1:10,F02,F02,F02,F04,F04,F04,B-Gal
E,1:100,F02,F02,F02,F04,F04,F04,B-Gal
F,1:1000,F02,F02,F02,F04,F04,F04,B-Gal
H,N/A,,,,Blank,Blank,Blank,B-Gal
A,1:10,F01,F01,F01,F03,F03,F03,Lysozyme
B,1:50,F01,F01,F01,F03,F03,F03,Lysozyme
C,1:100,F01,F01,F01,F03,F03,F03,Lysozyme
D,1:10,F02,F02,F02,F04,F04,F04,Lysozyme
E,1:50,F02,F02,F02,F04,F04,F04,Lysozyme
F,1:100,F02,F02,F02,F04,F04,F04,Lysozyme
H,N/A,,,,Blank,Blank,Blank,Lysozyme